Pregunta,Respuesta
¿Por qué medios debe ser diligenciada la historia clínica?,"Debe estar contenido en los sistemas de información y aplicaciones de software con capacidad de comunicarse, intercambiar datos y brindar medios de comunicación, con espacio de firma digital. "
¿Cuáles son los efectos legales de la historia clínica en Colombia?,"1. Es de obligatorio cumplimiento el diligenciamiento de la historia clínica según el sistema general  de salud, tanto para el personal de salud como para los profesionales de la salud, del mismo modo para las entidades prestadoras de servicios de salud.

2.Por medio de la historia clínica se busca unir datos de cada paciente  y sus respectivos tratamientos médicos por medio del sistema destinado por la entidad prestadora de servicios de salud para tal fin, el cual debe acogerse los parámetros establecidos por la norma, con el fin de agilizar, facilitar y garantizar el derecho al acceso a los servicios de salud y a la información de cada persona respetando la ley de tratamiento de datos personales con total garantía de  reserva de los mismos.

3. Quienes son responsables de la inclusión, omisión y custodia de información en la historia clínica, son los profesionales de la salud. 
Para más información se puede consultar la  Resolución 1995 de 1999."
¿Cómo se realiza el cuidado y la custodia de la historia clínica?,"Normativamente, los profesionales de la salud están obligados a registrar la información de cada paciente en un software de historia clínica.  
En cuanto al trato de la información, seguridad y continuidad de la prestación de cada servicio, deberá establecer una estrategia por medio de la cual se realizarán evaluaciones periódicamente donde se tenga en cuenta la seguridad digital."
42.¿Qué normas hablan acerca de la historia clínica?,"El artículo 34 de la Ley 23 de 1981 el cual define la historia clínica como ""el registro obligatorio de las condiciones de salud del paciente. Es un documento privado sometido a reserva que únicamente puede ser conocido por terceros previa autorización del paciente o en los casos previstos por la Ley.""  La Resolución 1995 de 1999, establece normas para el manejo de la historia clínica, indicando las características que debe contener, apertura e identificación de esta, numeración consecutiva, componentes, identificación del usuario, registros específicos y anexos."
¿Qué es una PQRSD?,"Conjunto de solicitudes que puede realizar un usuario teniendo en cuenta su necesidad, regulada por la   ley 1755 de 2015 y son:
                                                                                                                                                         
PETICION: Solicitud que hace el ciudadano con el fin de recibir una respuesta sobre los temas generales y particulares acerca de una situación en salud que son competencia de la Entidad. 
Si es una petición de información el termino de respuesta son 10 días hábiles. 
Si es una petición de interés general o particular, el termino de respuesta son 15 días hábiles.                                          

QUEJA: Manifestación mediante la cual se pone en conocimiento conductas irregulares de funcionarios o deficiencias en la prestación de los servicios que ofrece en cumplimiento de sus funciones. El tiempo de respuesta son 15 días hábiles.                                                                      

RECLAMO: Manifestación mediante la cual se ponen en conocimiento deficiencias en la prestación de los servicios que ofrece la entidad. El tiempo de respuesta son 15 días hábiles.             SUGERENCIA: Es una recomendación o propuesta que formula un ciudadano para el mejoramiento de las funciones, servicios, metas y objetivos de la entidad. El tiempo de respuesta son 15 días hábiles.                                                                                                                                                                   

DENUNCIA: Manifestación mediante la cual se ponen en conocimiento conductas posiblemente irregulares por parte de los funcionarios, relacionadas con extralimitación de funciones, toma de decisiones prohibidas en el ejercicio de su cargo o el interés directo en una decisión tomada. Incluye actos de corrupción. El tiempo de respuesta son 15 días hábiles."
¿Cuáles son los canales por los cuales se podria interponer una PQRSD?,"Pueden ser Presencial, Virtual (Formulario Web y aplicaciones móviles), Videollamada y Escrito  (Fax, Centralización de Correos electrónicos y correspondencia física). 
"
¿Cuál es el procedimiento para dar respuesta al usuario que ponga una PQRSD?,"Una vez se tenga la solución  concreta y satisfactoria de la  queja y/o reclamo; debe ser 
comunicada al usuario o  peticionario en la dirección  física, electrónica o telefónica.
El funcionario asignado en forma  conjunta con la Unidad  Funcional implicada, establece  única respuesta para el usuario  elaborando oficio, en donde se  le explica las acciones de  mejora y se informe al usuario  las actividades y  especificaciones del proceso  que se llevó a cabo, cumpliendo  con el tiempo reglamentario.
"
¿Cómo se define la auditoria de los servicos de salud?,La auditoría en salud es un mecanismo sistemático y continuo para la evaluación y el mejoramiento de la calidad de la atención de salud que reciben los usuarios.
¿Qué implica definir el alcance de la auditoria?,"Implica determinar qué aspectos específicos de la atención se van a evaluar y qué áreas se incluirán en el proceso de auditoría. La definición del alcance es fundamental para establecer los límites de la auditoría y garantizar que se centra en los aspectos más relevantes y prioritarios. 
Antes de definir el alcance de la auditoria, se debe identificar los objetivos y las áreas, procesos o servicios de intervención."
¿Cómo se definen los objetivos y criterios que se usaran para evaluar la calidad?,"Los objetivos establecen lo que se espera  lograr con la auditoría, mientras que los criterios son las medidas específicas que se utilizarán  para evaluar el desempeño.
Los objetivos pueden estar relacionados con la mejora de la calidad de la atención, el  cumplimiento de regulaciones específicas, la identificación de riesgos o cualquier otro aspecto  relevante.  Los criterios son los estándares o medidas que se utilizarán  para evaluar el desempeño. Estos pueden incluir normatividad, políticas internas, mejores  prácticas clínicas o cualquier otro marco de referencia."
¿Quiénes conforman el equipo que va a realizar la auditoria?,"El equipo debe estar compuesto por personas capacitados en auditoría, salud y regulaciones, y, en algunos casos, expertos en áreas específicas relacionadas con la auditoría. 
Es importante resaltar, que la competencia e idoneidad de los auditores parte del conocimiento de 
los criterios de auditoría pero también del conocimiento de técnicas de auditoria. 
Una vez se identifiquen los roles y responsabilidades de cada miembro del equipo, se debe seleccionar un líder. 
La selección del equipo auditor competente y la asignación de roles y  responsabilidades adecuadas son esenciales para garantizar que la  auditoría se realice de manera efectiva y se cumplan los objetivos  establecidos."
¿Qué informacion y documentacion se puede incluir en la auditoria?,"Implica reunir todos los documentos,  registros, políticas, procedimientos y cualquier otro material relevante necesario para llevar a  cabo la auditoría de manera efectiva. Se comienza por identificar las fuentes de información relevantes, se debe revisar la disponibilidad de la documentación y organizarla de manera sistemática para facilitar su  revisión y análisis así como verificar que los registros médicos estén debidamente  completos y que no haya discrepancias en la documentación."
¿Cómo se desarrolla el plan de auditoria?,"El plan de auditoría proporciona una guía detallada sobre cómo se realizará la 
auditoría, qué pasos se seguirán y cómo se cumplirán los objetivos de la auditoría. 
Se debe identificar la auditoria, definir el cronograma y asignar responsabilidades con los recursos necesarios."
¿Cuál es la importancia de realizar una reunión de auditoría?,"En ella se da la apertura a la auditoría, su esencia es garantizar la comprensión  por parte de todos los interesados, los objetivos, el alcance y cada uno de los procesos de la auditoría, es el momento preciso para comunicar expectativas y el plan que se llevará acabo."
¿Cuáles son los procesos para llevar acabo una reunión de auditoría?,"Esta son: 
1.Convocar a la reunión de inicio
2.Presentar los objetivos y el alcance
3.Comunicar el cronograma
4.Confirmar roles y responsabilidades
5.Discutir el proceso de comunicación
6.Aclarar expectativas y preguntas
7.Declarar incertidumbre de la auditoría
8.Registrar por medio de actas o minutas la reunión
"
¿Qué se realiza en una auditoría?,"Se revisa, se observa y se recopila la evidencia teniendo en cuenta el plan establecido  y se evalúan los criterios de la misma y cada uno de los objetivos definidos."
57.¿Cómo se clasifican los hallazgos en las auditorías?,"Se definen como cumplimiento, no conformidad menor, no conformidad importante y hallazgos críticos."
¿Cuáles son las prácticas que se realizan al momento de analizar y evaluar los hallazgos en una auditoría?,"Las prácticas a realizar al momento de hacer un análisis y evaluación de hallazgos, son revisión de datos recopilados, comparación con criterios de auditoría, clasificación de hallazgos, identificación de tendencias, evaluación de impacto, preparación del informe de auditoría y revisión y validación del informe de auditoría. "
¿Qué tan importante es el análisis y evaluación de los hallazgos en una auditoría?,"Muy importante pues esta fase es esencial para transformar la información recolectada en una evaluación precisa de la calidad y conformidad; por otra parte la clasificación de cada hallazgo, la identificación de tendencias y una documentación adecuada hacen parte de los pasos precisos para la toma de decisiones informadas y una mejora continua."
¿Cómo se define el direccionamiento estratÉgico?,"Se define como la formulación de las metas, finalidades y propósitos de una organización o proyecto, donde se consignan los objetivos definidos para un corto, mediano y largo plazo. "
¿Cuál es el objetivo principal del direccionamiento estratÉgico?,"El objetivo principal es el de establecer o revisar los lineamientos o postulados fundamentales de la persona u organización, lo que constituye la Plataforma Estratégica."
¿Qué es la plataforma estrategica?,Es la estructura sobre la cual se basa y se sustenta una organización. 
¿Cuáles son los elementos que comnponen la plataforma estrategica?,"Está compuesta por una descripción de su ser y hacer (La misión), una definición de su meta a largo plazo (La visión), el establecimiento de unos objetivos más específicos que dibujan el camino a través del cual irá realizando su meta de largo plazo (objetivos estratégicos) y aquellos patrones de conducta (Los valores corporativos) que se convierten en marcos normativos que regulan su actuar."
¿Cuáles son los beneficios de la planeacion estrategica?,"Algunos generales son:                                                                                                                                                                          1. Claridad de la visión estratégica de la organización.
2. La debida comprensión de un entorno cambiante y competitivo.
3. El enfoque dirigido, mediante objetivos a largo plazo, a lo que tendrá importancia estratégica para la organización en un futuro.
4. Un comportamiento proactivo frente a los elementos del entorno externo, de modo independiente al de los del entrono interno.
5. Un comportamiento sistémico y holístico que involucre a toda la organización.
6. La interdependencia con el entorno externo"
¿Qué es la facturacion en salud?,Es un proceso fundamental que garantiza el registro adecuado del conjunto de actividades resultado de la atención al usuario que permiten liquidar la prestación de servicios de salud para efectos del cobro.
¿Cuáles son las funciones del proeso de facturacion?,"Desde admisiones: identificar, clasificar y solicitar los documentos del usuario y del ente asegurador responsable del pago.

Recopilar y organizar la información que generan los servicios asistenciales sobre la atención y los consumos generados por un paciente

Generar un documento de cobro equivalente a la factura para cobrar a un paciente o entidad responsable del pago con la cual se tiene una relación contractual o como producto de un evento atendido

Generar los reportes producto de la facturación para los clientes internos y externos de la IPS"
¿Cuáles son las etapas del proceso de facturacion?,"
1.  Se debe tener el cuenta la normatividad vigente y el proceso contractual ente el pagador y el prestador. 
2. Una vez inicia la atención al usuario se debe hacer registro del servicio donde se documenta cada servicio y/o actividad prestada al paciente, incluyendo diagnósticos, procedimientos y medicamentos suministrados. 
3. Los servicios se codifican según estándares internacionales (como el CIE-10 para diagnósticos y el CPT para procedimientos) para estandarizar la información. 
4. Se emite la factura electrónica, que debe cumplir con los requisitos legales y técnicos establecidos por la DIAN. 
5. La factura se envía al pagador correspondiente, que puede ser el paciente, una aseguradora o una entidad gubernamental.
6. Se recibe la confirmación de la recepción de la factura y, posteriormente, el pago correspondiente."
¿Quiénes deben emitir facturacion en salud? ,"Deben emitir este tipo de facturas todos los prestadores de servicios de salud que realicen actividades económicas gravadas, como es el caso de hospitales y clínicas tanto públicos como privados.
 Consultorios médicos individuales y colectivos. 
Laboratorios clínicos que realicen pruebas diagnósticas y otros servicios similares. 
Farmacias y droguería que suministren medicamentos prescritos. 
Profesionales de la salud independientes."
¿Cuál es la normativa vigente para la generación de la facturación en salud?,"En Colombia, la normativa para la facturación electrónica en salud está regulada por la Dirección de Impuestos y Aduanas Nacionales (DIAN) son: 
1. Resolución 000042 de 2020: Establece los requisitos y procedimientos para la facturación electrónica.
2. Decreto 358 de 2020: Regula los sistemas de facturación y los sujetos obligados a emitir facturas electrónicas. 
3. Resolución 000012 de 2021: Detalla las especificaciones técnicas para la implementación de la facturación electrónica en el sector salud.
   "
"¿Cuál es el objeto de la Resolución 2335
de 2023?","Establecer los procedimientos y aspectos técnicos para la ejecución, seguimiento y ajuste a los acuerdos de voluntades y se dictan otras disposiciones”"
¿Cuál es el objeto de la  Resoluciones 2284 de 2023?,"Establece soportes de cobro de la factura de venta en salud, el manual único de devoluciones, glosas y respuestas. "
¿A quien aplica las Resoluciones 2335 y 2284 de 2023?,"RTA: Aplican a: Prestadores de servicios de salud: IPS, Profesionales independientes, Transporte especial de pacientes. Entidades responsables de pago: EPS, Entidades adaptadas, ARL, Entidades territoriales. Proveedores de tecnologías de salud: Aquellos que realicen disposición, almacenamiento, venta o entrega de tecnologías en salud. Regímenes especiales, de excepción y el Fondo Nacional de Salud - Población Privada de la Libertad cuando contraten con Prestadores de Servicios de Salud - Proveedores de Tecnologías en Salud."
¿Cuál es el Proceso administrativo para las atenciones sin autorización establecido en la resolucion 2335 de 2023?,"Por parte del Prestador: 
1. Notificación del Sistema de Vigilancia en Salud Pública - SIVIGILA, informe de atención de urgencias, o aquellos que las partes hayan pactado cuando se trate de otros eventos, 
2. Información periódica a la Entidad Responsable de Pago.
3. Las partes establecerán los instrumentos, contenidos y periodicidad con que debe hacerse.                                                               

Por parte del Proveedor Información periódica a la entidad responsable de pago del suministro de la tecnología prescrita por el prestador. 

Por parte de la Entidad Responsable de Pago:
1. Definición del prestador o del proveedor, para la atención integral de la persona, determinando la continuidad en el prestador que está realizando la atención sin autorización o la remisión a otro prestador según las condiciones de salud de la persona. 
2.  Gestión administrativa y evaluación de la calidad de la atención brindada al paciente. 
3. Consolidación de la información, que permita el monitoreo a las atenciones sin autorización."
¿Cómo se gestiona la atencion inicial de urgencias aplicando la resolucion 2335 de 2023? ,"Se debe hacer uso de los campos de datos del Anexo Técnico No. 1 y enviar a través de los medios de transferencia de información y canales transaccionales definidos en el acuerdo de voluntades; cuando el prestador no pueda identificar a la persona, deberá enviar el informe de atención de urgencias a la secretaria de salud departamental, distrital o municipal de su jurisdicción o a la entidad que haga sus veces, y una vez sea identificada la persona y la entidad responsable de pago, el
prestador allegará el soporte de envío del informe de atención de urgencias. Se debe realizar la afiliación de oficio de determinarse que la persona no se encuentra
afiliada."
¿Cómo se realiza la gestión de la autorización para servicios posteriores a la atención de urgencias sin egreso hospitalario?,"Se debe diligenciar el Anexo Técnico No. 1. Dentro de las 4 horas siguientes a la finalización de la atención de urgencias y enviar a la entidad responsable de pago. La entidad responsable de pago con uso del Anexo 1, debe dar respuesta dentro de las 2 horas siguientes al recibo de la solicitud. Cuando la entidad responsable de pago considere que el servicio pudiera prestarse por otro prestador, realizará la referencia y contrarreferencia, Efectuando traslado efectivo dentro de las 12 horas posteriores a su solicitud, siempre que no se ponga en riesgo la vida e integridad de la persona, según concepto del profesional tratante. Si requiere
información clínica adicional, deberá solicitarla dentro de las 2 horas siguientes a la recepción de la solicitud de autorización, y el Prestador dispondrá de 2 horas para dar respuesta. 
El silencio por parte del prestador no exime a la entidad responsable de pago de la obligación frente a la gestión en salud de la persona, por lo que deberá adelantar la referencia de modo que se garantice la calidad y oportunidad en la atención de su afiliado. Recibida la información adicional, la entidad responsable de pago deberá dar respuesta dentro de la siguiente hora. Si la entidad responsable de pago no responde, el prestador continuará la atención y facturará anexando evidencia del envío de la solicitud."
82. ¿Cómo es el proceso de referencia definido en la resolucion 2335 de 2023?,"Mediante el uso de los campos de datos del Anexo 1 y el envío a través de los medios de
transferencia de información y canales transaccionales. Se deben tener en cuenta los siguientes tiempos: 1. En urgencias: máximo dos 2 horas 2. En atención prioritaria: máximo 12 horas 3. En servicios electivos o programables: máximo 5 días calendario.
Recibida la solicitud, la entidad responsable de pago definirá el prestador receptor dentro de su red o por fuera de esta sí no hay disponibilidad, con copia al prestador solicitante, e informará a la persona, cuando la entidad responsable de pago no dé respuesta, el prestador deberá informar al CRUE, para que asigne el prestador y el servicio de transporte asistencial. En estos casos, el prestador deberá informarle al prestador receptor y a la entidad responsable de pago, sin que haya lugar a glosa."
¿Cómo es el Proceso de Contrarreferencia según la resolucion 2335 de 2023?,"
Cuando el prestador receptor considere que la persona puede continuar su manejo en el prestador remitente o en otro prestador con servicios de menor complejidad, deberá enviar la solicitud de contrarreferencia a la entidad responsable de pago, usando el Anexo 1 y, adjuntar copia de la epicrisis, el resumen de atención o la hoja de atención de urgencias. En los casos que, en el marco de la referencia y acorde con la condición de salud del paciente, el prestador receptor esté ubicado en un municipio diferente al municipio de residencia del paciente, una vez concluida la atención por la cual se originó la referencia, la entidad responsable de pago deberá iniciar la contrarreferencia al prestador que realizó la remisión inicial o a un prestador en el municipio de residencia de la persona que pueda dar continuidad al manejo clínico instaurado."
¿ Cuál es el objeto de la Resolución 2284 de 2023?,"
Establece los soportes de cobro de la factura de venta en salud, el Manual Único de Devoluciones, Glosas y Respuestas."
Cómo se define una glosa en salud?,"Es una no conformidad que afecta parcial o totalmente el valor de la factura por
prestación de servicios de salud, encontrada por la entidad responsable del pago durante
la revisión integral, y que requiere ser resuelta por parte del prestador de servicios de salud (Ministerio de Salud, 2009). 
El término ""glosa"" en el contexto de la facturación médica se refiere a un proceso administrativo que implica la revisión detallada y el análisis de las reclamaciones de pago por servicios médicos presentadas por los proveedores de salud a las aseguradoras o entidades pagadoras. 
Durante este proceso, se verifican los procedimientos realizados, los diagnósticos asociados, los costos involucrados y se comparan con los estándares y políticas establecidas para asegurar la exactitud y adecuación de la factura antes de su pago. (American Medical Asociación. 2020)."
¿Cómo se define una devolucion en salud?,"Es una limitación al trámite de la factura de venta para el pago por parte de la entidad
responsable de pago que la afecta de forma total, la cual puede ser subsanada en los
términos establecidos de conformidad con el artículo 6 de la resolución 2284 de 2023.
Las causas de devolución son taxativas y corresponden a la labor que tiene la entidad
responsable de pago frente a definir su responsabilidad en el pago y trámite de la cuenta en cumplimiento del literal d, del articulo 13 de la Ley 1122 de 2007."
¿Cuál es el procedimiento definido para las devoluciones en el marco de lo definido en la resolucion 2284 de 2023?,"Se debe tener en cuenta la tabla de devoluciones del Manual único de devoluciones, glosas y Respuestas. 
1. La devolución debe ser revisada y comunicada dentro de los cinco (5) días hábiles
siguientes a su radicación por parte del prestador. 
2. Una vez vencido dicho término no es posible aplicar devoluciones. El prestador o proveedor si considera que es injustificada dará respuesta dentro de los siguientes cinco (5) días hábiles siguientes. 
3. Si el prestador o proveedor guarda silencio se entenderá como aceptado tácitamente el motivo de la devolución y procederá a expedir la respectiva nota crédito al 100% del valor de la factura.. 
4. La entidad responsable de pago contará con 5 días hábiles siguientes para aceptar o notificar la reiteración de la devolución. De no existir notificación de ratificación, se entenderá que la devolución era injustificada."
¿Cuál es el procedimiento definido para las glosas derivadas de la prestacion de los servicios de salud según la normatividad?,"Las entidades responsables del pago de servicios de salud dentro de los veinte (20) días hábiles siguientes a la presentación de la factura con todos sus soportes, formularán y comunicarán a los prestadores de servicios de salud las glosas a cada factura, con base en la codificación y alcance definidos en la normatividad vigente. El PSS tiene 15 días para responder si acepta o no la glos realizada, la ERP tiene 10 días para levantar total o parcial la glosa o reiterarla, el PSS tiene 7 días para responder a la glosa no levantada y la entidad responsable de pago debe pagar la glosas levanta en 5 días."
¿Cuáles son las normas o manuales tarifarios usados para realizar el proceso de facturacion de los servicios de salud? ,Decreto 2423 de 1996 (manual SOAT) cuyas tarifas se actualizan anualmente según el salario mínimo mensual legal vigente o las unidades de valor tributario. Acuerdo 0256 de 2001 (manual ISS).
92. ¿¿Qué es el ReTHUS?,"Es la inscripción en el sistema de información definido por el Ministerio de Salud y Protección Social, del talento humano en salud que cumple con los requisitos establecidos en la Ley 1164 de 2007, proceso con el cual se entiende que dicho personal se encuentra autorizado para el ejercicio de una profesión u ocupación del área de la salud. "
¿Cuáles son las modalidades de contratación de talento humano en salud en Colombia?,"1. Licitación pública.
2. Selección abreviada. 
3. Concurso de méritos.
4. Contratación directa.
5. Mínima cuantía."
¿Cuáles son los principios de la contratacion publica definidos en la ley 80 de 1993 en Colombia?,"Ley 80 de 1993, o Estatuto General de Contratación de la Administración Pública, define los siguientes: 
1. Transparencia: asegura que todas las actuaciones contractuales sean claras y abiertas al público, permitiendo la participación ciudadana y la posibilidad de conocer y cuestionar los procesos.         2. Economía: busca la optimización de recursos, asegurando que se obtenga la mejor relación calidad-precio.  
3. Responsabilidad: es el otro pilar fundamental de la contratación pública que exige a las entidades públicas y a los contratistas cumplir con sus obligaciones de manera eficaz, garantizando la calidad y la eficiencia en la prestación de servicios públicos.  
Además, la Constitución Política de Colombia refuerza estos principios con valores como igualdad, moralidad, eficacia, celeridad, imparcialidad y publicidad, que son esenciales para el correcto funcionamiento de la contratación estatal. "
¿Cómo se define la modalidad de contratacion por licitacion publica?,"Modalidad considerada la regla general en la contratación pública, mediante la cual, la entidad estatal formula amplia y públicamente, una convocatoria para que en igualdad de oportunidades los interesados presenten sus ofertas, buscando obtener la más amplia participación en los procesos de selección, con la finalidad de afianzar la posibilidad de competencia y oposición entre quienes se presenten. Esta modalidad de selección está consagrada en el artículo 30 de la Ley 80 de 1993, el artículo 2 de la Ley 1150 de 2007 así como en el artículo 2.2.1.2.1.1.1 y ss. del Decreto Único Reglamentario 1082 de 2015."
¿Cómo se define la modalidad de contratacion por concurso de meritos?,"Corresponde a la modalidad para la selección de consultores o proyectos de arquitectura, en la que se podrán utilizar sistemas de concurso abierto o de precalificación. 
De conformidad con las condiciones que señale el reglamento, en desarrollo de estos procesos de selección, las propuestas técnicas o de proyectos podrán ser presentadas en forma anónima ante un jurado plural, impar deliberante y calificado. 
Esta modalidad de selección está consagrada en el artículo 2 de la Ley 1150 de 2007 así como en el artículo 2.2.1.2.1.3.1 y ss. del Decreto Nacional 1082 de 2015, su procedimiento se encuentra contemplado en el artículo segundo del Decreto 399 de 2021."
¿Cómo se define la modalidad de contratacion por selección abreviada?,"Esta modalidad de selección está consagrada en el artículo 2 de la Ley 1150 de 2007 así como en el artículo 2.2.1.2.1.2.1 y ss. del Decreto Nacional 1082 de 2015, es la modalidad de selección objetiva, prevista para aquellos casos en que por las características del objeto a contratar; la destinación del bien, obra o servicio; las circunstancias de la contratación, o su cuantía, ameritan adelantar procesos simplificados para garantizar la eficiencia de la gestión contractual."
¿Cómo se define la modalidad de contratacion por contratacion directa?,"La contratación directa, es una modalidad de selección con la que cuenta el Estado para celebrar contratos con particulares o con Entidades del mismo Estado, sin realizar una convocatoria pública, con el fin de ahorrar tiempo en la adquisición de bienes y servicios.
La modalidad de contratación directa se encuentra regulada en el numeral 4° del artículo 2° de la Ley 1150 de 2007 y procede única y exclusivamente en las causales previstas en la Ley; por lo tanto, su aplicación es de carácter excepcional y restrictivo."
¿Cómo se define la modalidad de contratacion por minima cuantía?,"Reglamenta las adquisiciones de bienes, servicios y obras cuyo valor no exceda del diez por ciento (10%) de la menor cuantía de la entidad contratante, independientemente de su objeto.
Este procedimiento no se aplica, cuando la contratación se deba adelantar en aplicación de una causal de contratación directa."
¿Cuáles son los tipos de contrato de trabajo que existen en Colombia?,"Según la forma y contenido estas son: 
1. Contrato verbal, Art. 38, CST: Cuando el contrato sea verbal, el empleador y el trabajador deben ponerse de acuerdo, en los compromisos como La índole del trabajo, sitio en donde realizará actividades, La cuantía, forma de la remuneración, duración del contrato. 
2. Contrato escrito, art. 39, CST: Se emite copia a cada uno de los interesados y debe contener necesariamente, fuera de las cláusulas que las partes acuerden libremente. 
3. Contrato de trabajo a término fijo: Se caracteriza por tener una fecha de inicio y de terminación que no puede superar 3 años, puede haber prorroga.
4. Contrato de trabajo a término indefinido: Este contrato indica la fecha de inicio del trabajador, pero no tiene fecha de finalización determinada.                              
5. Contrato por obra o labor: En este caso, la persona es contratada para realizar una actividad específica, no se sabe con exactitud la fecha de terminación del contrato y podrá finalizar una vez el trabajador culmine la labor para la cual se contrató.                                                                                                                     
6. Contrato temporal, ocasional o accidental: Este tipo de contrato no debe ser superior a un mes y las actividades que se desempeñan no pertenecen a las rutinarias de la empresa. "
¿En que consisten las pruebas psicometricas en el proceso de selección de personal?,"Se basan en el análisis de muestras de comportamiento humano, sometiéndose a examen bajo condiciones normativas, verificando la aptitud, para intentar generalizar y prever cómo se manifestará ese comportamiento en determinada forma de trabajo. "
¿Cuáles son las tecnica de selección de personal mas usadas?,"Pueden ser:
1. Análisis de currículo.
2. Entrevista. 
3. Pruebas de conocimiento. 
4. Test psicotécnicos.
5. Referencias. 
6. Pruebas de habilidades y capacidad.
7. Exámenes psicotécnicos."
"¿Cuál es el objetivo principal del Sistema Único de Habilitación (SUH) en el Sistema Obligatorio de la Garantía de la Calidad en Salud?
","Garantizar el cumplimiento de estándares mínimos de calidad, seguridad y eficiencia
"
"¿Una de las características del Sisitema Obligatorio  de Garantia de Calidad en Salud es?
","La Competitividad
"
108.¿Qué beneficio ofrece el Sistema Único de Habilitación  al Sistema de salud?,"Garantía a los pacientes para que reciban atención de alta calidad de proveedores acreditados
"
¿Qué acción sigue después de identificar áreas de mejora en una institución de salud?,Documentar detalladamente las acciones a tomar para corregir las brechas identificadas
¿Uno de los beneficios proporcionado por el Sistema de Información de Calidad (SIC) es?,Recopilar y analizar datos sobre la calidad de la atención médica.
¿Qué metodología estructurada se utiliza en las auditorías de calidad para identificar problemas y tomar acciones correctivas?,"Ciclo PHVA (Planificar,Hacer,Verificar,Actuar)"
¿Uno de los objetivos claves del Sistema Obligatorio de la Garantía de Calidad en Salud (SPGCS) es?,Mejorar los resultados de atención en salud.
¿Qué beneficio aporta una auditoría de calidad al sistema de salud?,Identifica y aborda brechas de calidad para mejorar resultados y satisfacción del paciente.
115.¿Cuál es el propósito del Sistema Único de Acreditación (SUC)?,Reconocer a los servicios de salud que cumplen con altos estándares de calidad.
116.¿Cuál es el objetivo principal de verificación del cumplimiento de la gestión del sistema?,Asegurar que se sigue el procedimiento técnico establecido.
¿Qué documento se debe seguir para asegurar el cumplimiento de la gestión del sistema?,Procedimiento técnico.
¿Quién es responsable de verificar el cumplimiento de la gestión del sistema según el procedimiento técnico?,El responsable de calidad de la entidad.
¿Por qué es importante verificar el cumplimiento de la gestión del sistema?,Para asegurar la conformidad y la mejora continua.
¿Qué se espera obtener al verificar el cumplimiento del sistema según el procedimiento técnico?,Reporte de no conformidades y áreas de mejora.
¿Qué herramienta puede utilizarse para verificar el cumplimiento de la gestión del sistema?,Auditorías internas.
¿Cuál es el resultado esperado de una verificación del cumplimiento del sistema?,Identificación de conformidades y no conformidades
¿Qué acción se debe tomar si se encuentra una no conformidad durante la verificación?,Documentarla y aplicar una acción correctiva.
¿Cada cuánto tiempo se debe realizar la verificación del cumplimiento del sistema según el procedimiento técnico?,Según el plan de auditoría y procedimientos internos.
¿Cuál es el primer paso en el proceso de verificación del cumplimiento de la gestión del sistema?,Revisar el procedimiento técnico correspondiente.
¿Qué se debe hacer después de completar la verificación del cumplimiento?,Comunicar los hallazgos a la dirección y tomar acciones necesarias.
¿Qué se debe aplicar para hacer seguimiento al Sistema Integrado de Gestión?,Herramientas para el seguimiento
¿Qué es la gestion de compras?,"El proceso de adquisición de artículos a proveedores externos se trata de gestionar las adquisiciones, recepcionar, revisar y aprobar órdenes de compra, incluyendo también la relación con los proveedores. 
Una de las claves de la gestión de Compras es la relación e interacción con todos los departamentos y proveedores implicados. Respecto a los proveedores, mantener una buena relación con ellos permitirá establecer canales de comunicación más fluidos."
¿Cuál es la importancia de la gestion del recurso fisico?,"Costos más bajos. 
Reducción de riesgos. 
Mantener estable toda la cadena de suministro.
Identificar compras claves, 
buscar alternativas de suministro y realizar un mapa de riesgo de proveedores.
Permite a las organizaciones minimizar riesgos.
Ahorrar tiempo y recursos. "
¿Cómo se define el proceso de compras?,Conjunto de actividades que llevan a cabo las personas cuando tratan de comprar un producto y/o servicio. 
¿Cómo se define la planta fisica o infraestructura?,"Se entiende por planta física las características ambientales donde se desarrollan las actividades logísticas desde la recepción a la distribución de materiales e incluye listado de locales y superficies, ubicación dentro del edificio, concentrada en un área o distribuida por diferentes sectores."
¿Qué son los activos fijos no depreciables?,"Se consideran bienes no depreciables, los terrenos, las construcciones en curso y en general los activos que de acuerdo con su estado no estén expuestos a situaciones que impliquen deterioro o desgaste material. "
¿Qué son los activos fjos depreciables?,"Corresponde a las edificaciones y a los bienes muebles en servicio que durante su vida útil pierden su capacidad normal de operación por causa del deterioro, desuso, utilización, causas naturales u obsolescencia. "
142. ¿Qué son los dispositivos médicos?,"Son cualquier instrumento, aparato, máquina, software, equipo biomédico u otro artículo
similar o relacionado, utilizado solo o en combinación, incluyendo sus componentes, partes,
accesorios y programas informáticos que intervengan en su correcta aplicación, destinado por
el fabricante para el uso en seres humanos para Diagnóstico, prevención, supervisión o alivio de una enfermedad, Diagnóstico, prevención, supervisión, tratamiento, alivio o compensación de una lesión o de una deficiencia, Investigación, sustitución, modificación o soporte de la estructura anatómica o de un proceso fisiológico, Diagnóstico del embarazo y control de la concepción, Cuidado durante el embarazo, nacimiento o después del mismo, incluyendo el cuidado
del recién nacido y Productos para la desinfección y/o esterilización de dispositivos médicos."
